HGNC symbol	Description	Phenotype description
FAM181B	family with sequence similarity 181 member B [Source:HGNC Symbol;Acc:HGNC:28512]	
FAM183A	family with sequence similarity 183 member A [Source:HGNC Symbol;Acc:HGNC:34347]	
FAM188A	family with sequence similarity 188 member A [Source:HGNC Symbol;Acc:HGNC:23578]	
FAM216B	family with sequence similarity 216 member B [Source:HGNC Symbol;Acc:HGNC:26883]	
FAM221B	family with sequence similarity 221 member B [Source:HGNC Symbol;Acc:HGNC:30762]	
FAM229A	family with sequence similarity 229 member A [Source:HGNC Symbol;Acc:HGNC:44652]	
FAM47E	family with sequence similarity 47 member E [Source:HGNC Symbol;Acc:HGNC:34343]	
FAM65C	family with sequence similarity 65 member C [Source:HGNC Symbol;Acc:HGNC:16168]	
FAM83D	family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]	
FAM86B1	family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]	
FAM86B2	family with sequence similarity 86 member B2 [Source:HGNC Symbol;Acc:HGNC:32222]	
FANCD2	Fanconi anemia complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]	Fanconi anemia
FANCD2	Fanconi anemia complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]	FANCONI ANEMIA COMPLEMENTATION GROUP D2
FANCD2	Fanconi anemia complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]	TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA
FASTKD2	FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]	FASTKD2-related infantile mitochondrial encephalomyopathy
FASTKD2	FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]	MITOCHONDRIAL COMPLEX IV DEFICIENCY
FAT2	FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596]	
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	Synpolydactyly type 2
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	SYNPOLYDACTYLY 2
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	SYNPOLYDACTYLY 3/3-PRIME/4 ASSOCIATED WITH METACARPAL AND METATARSAL SYNOSTOSES
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	ACROMICRIC DYSPLASIA
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Familial thoracic aortic aneurysm and aortic dissection
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Geleophysic dysplasia
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Glaucoma-ectopia-microspherophakia-stiff joints-short stature syndrome
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	isolated ectopia lentis (EL)
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Marfan syndrome type 1
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Neonatal Marfan syndrome
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Progeroid and marfanoid aspect-lipodystrophy syndrome
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	SHPRINTZEN-GOLDBERG SYNDROME
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Stiff skin syndrome
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Weill-Marchesani syndrome
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	ECTOPIA LENTIS 1 ISOLATED AUTOSOMAL DOMINANT
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	GELEOPHYSIC DYSPLASIA 2
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	MARFAN LIPODYSTROPHY SYNDROME
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	MARFAN SYNDROME
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	MASS SYNDROME/overlap connective tissue disease (OCTD)
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	WEILL-MARCHESANI SYNDROME 2
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	Shprintzen-Goldberg craniosynostosis syndrome
FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	WEILL-MARCHESANI SYNDROME AUTOSOMAL DOMINANT
FBXL22	F-box and leucine rich repeat protein 22 [Source:HGNC Symbol;Acc:HGNC:27537]	
FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	
FBXO36	F-box protein 36 [Source:HGNC Symbol;Acc:HGNC:27020]	
FBXW2	F-box and WD repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:13608]	
FCGRT	Fc fragment of IgG receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]	
FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	
FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	Kallmann Syndrome
FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	Normosmic congenital hypogonadotropic hypogonadism
FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	Hypogonadotropic hypogonadism 20 with or without anosmia
FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	integrin-mediated signaling pathway
FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	positive regulation of phosphatidylinositol 3-kinase activity
FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	positive regulation of phosphatidylinositol 3-kinase signaling
FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	
FITM1	fat storage inducing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:33714]	
FKBP4	FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]	
FKBP5	FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]	MAJOR DEPRESSIVE DISORDER
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	Autosomal recessive limb-girdle muscular dystrophy type 2M
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	Congenital muscular dystrophy without intellectual disability
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	Congenital muscular dystrophy Fukuyama type
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	Familial isolated dilated cardiomyopathy
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	Muscle-eye-brain disease with bilateral multicystic leucodystrophy
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	Walker-Warburg syndrome
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	CARDIOMYOPATHY DILATED 1X
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYEANOMALIES) TYPE A 1
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES) TYPE A 4
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION) TYPE B 4
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE) TYPE C 4
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	cardiomyopathy dilated type 1X (CMD1X)
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies type A4 (MDDGA4)
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	muscular dystrophy-dystroglycanopathy congenital without mental retardation type B4 (MDDGB4)
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	muscular dystrophy-dystroglycanopathy limb-girdle type C4 (MDDGC4)
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	negative regulation of JNK cascade
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	negative regulation of cell proliferation
FKTN	fukutin [Source:HGNC Symbol;Acc:HGNC:3622]	protein O-linked mannosylation
FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	Birt-Hogg-Dube syndrome
FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	Familial spontaneous pneumothorax
FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	COLORECTAL CANCER
FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	Pneumothorax primary spontaneous
FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	RENAL CELL CARCINOMA NONPAPILLARY
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Acute biphenotypic leukemia
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Acute myeloblastic leukemia with maturation
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Acute myeloblastic leukemia without maturation
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22)
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Acute myeloid leukemia with t(8;21)(q22;q22) translocation
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Minimally differentiated acute myeloblastic leukemia
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Precursor B-cell acute lymphoblastic leukemia
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Precursor T-cell acute lymphoblastic leukemia
FLT3	fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	Leukemia acute lymphoblastic 3
FLT3LG	fms related tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]	
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	Milroy Disease
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	cellular response to vascular endothelial growth factor stimulus
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	lymphangiogenesis
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	canonical Wnt signaling pathway involved in negative regulation of apoptotic process
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of ERK1 and ERK2 cascade
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of JNK cascade
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of MAPK cascade
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of cell proliferation
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of endothelial cell proliferation
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of protein kinase C signaling
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of protein phosphorylation
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of vascular endothelial growth factor production
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	transmembrane receptor protein tyrosine kinase activity
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway
FLT4	fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	vascular endothelial growth factor-activated receptor activity
FOXD4	forkhead box D4 [Source:HGNC Symbol;Acc:HGNC:3805]	
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	Congenital alveolar capillary dysplasia
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	Alveolar capillary dysplasia with misalignment of pulmonary veins
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	RNA polymerase II regulatory region sequence-specific DNA binding
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	blood vessel development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	branching involved in open tracheal system development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	cardiac left ventricle morphogenesis
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	digestive tract development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	ductus arteriosus closure
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	embryonic digestive tract morphogenesis
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	embryonic ectodermal digestive tract morphogenesis
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	endocardial cushion development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	Notch signaling involved in heart development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	in utero embryonic development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	lung development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	lung vasculature development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	midgut development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	morphogenesis of a branching structure
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	endocrine pancreas development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	positive regulation of transcription from RNA polymerase II promoter
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	renal system development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	respiratory tube development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	transcriptional activator activity RNA polymerase II transcription regulatory region sequence-specific binding
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	ureter development
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	venous blood vessel development
FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	
FPGT-TNNI3K	FPGT-TNNI3K readthrough [Source:HGNC Symbol;Acc:HGNC:42952]	
FRAT2	frequently rearranged in advanced T-cell lymphomas 2 [Source:HGNC Symbol;Acc:HGNC:16048]	
FRRS1L	ferric chelate reductase 1 like [Source:HGNC Symbol;Acc:HGNC:1362]	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE 37
FRRS1L	ferric chelate reductase 1 like [Source:HGNC Symbol;Acc:HGNC:1362]	Epileptic encephalopathy with continuous spike-and-wave during sleep
FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	
FXYD2	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]	Autosomal dominant primary hypomagnesemia with hypocalciuria
FXYD2	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]	HYPOMAGNESEMIA 2 RENAL
FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	canonical Wnt signaling pathway
FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	negative regulation of cell cycle arrest
FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	negative regulation of neuron apoptotic process
FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	positive regulation of neural precursor cell proliferation
G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	
GABRA6	gamma-aminobutyric acid type A receptor alpha6 subunit [Source:HGNC Symbol;Acc:HGNC:4080]	
GAGE10	G antigen 10 [Source:HGNC Symbol;Acc:HGNC:30968]	
GALM	galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063]	
GALNT13	polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]	
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4127]	
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	Alobar holoprosencephaly
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	Lobar holoprosencephaly
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	Microform holoprosencephaly
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	Midline interhemispheric variant of holoprosencephaly
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	Semilobar holoprosencephaly
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	Septopreoptic holoprosencephaly
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	negative regulation of protein processing
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	positive regulation of ER to Golgi vesicle-mediated transport
GAS2L3	growth arrest specific 2 like 3 [Source:HGNC Symbol;Acc:HGNC:27475]	
GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	
GDPD3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28638]	
GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	
GEN1	GEN1, Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]	
GFM1	G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]	Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1
GFM1	G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1
GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	
GJA4	gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]	
GJC1	gap junction protein gamma 1 [Source:HGNC Symbol;Acc:HGNC:4280]	
GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	negative regulation of canonical Wnt signaling pathway
GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	positive regulation of cell proliferation
GLT8D1	glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]	
GOLPH3L	golgi phosphoprotein 3 like [Source:HGNC Symbol;Acc:HGNC:24882]	
GPCPD1	glycerophosphocholine phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:26957]	
GPR137C	G protein-coupled receptor 137C [Source:HGNC Symbol;Acc:HGNC:25445]	
GPR149	G protein-coupled receptor 149 [Source:HGNC Symbol;Acc:HGNC:23627]	
GPR35	G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]	Primary sclerosing cholangitis
GPR35	G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]	C-X-C chemokine receptor activity
GPR35	G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]	chemokine-mediated signaling pathway
GPR35	G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]	negative regulation of voltage-gated calcium channel activity
GPR35	G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]	positive regulation of cytosolic calcium ion concentration
GPR4	G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497]	
GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	
GREB1L	growth regulation by estrogen in breast cancer 1 like [Source:HGNC Symbol;Acc:HGNC:31042]	
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	Behavioral variant of frontotemporal dementia
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	CLN11 disease
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	Progressive non-fluent aphasia
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	Semantic dementia
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	CEROID LIPOFUSCINOSIS NEURONAL 11
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS GRN-RELATED
GSAP	gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]	
GSDMD	gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]	
GSTCD	glutathione S-transferase C-terminal domain containing [Source:HGNC Symbol;Acc:HGNC:25806]	
GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	
GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	TRICHOTHIODYSTROPHY 2 PHOTOSENSITIVE
GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	TRICHOTHIODYSTROPHY 3 PHOTOSENSITIVE
GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	trichothiodystrophy photosensitive (TTDP)
GTPBP10	GTP binding protein 10 [Source:HGNC Symbol;Acc:HGNC:25106]	
HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21033]	Neuroblastoma
HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21033]	Spastic paraplegia and psychomotor retardation with or without seizures
HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21033]	HACE1 related disorder
HACL1	2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]	
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	BETA-THALASSEMIA INTERMEDIA
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Beta-thalassemia major
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Delta-beta thalassemia
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Dominant beta-thalassemia
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Heinz body anemia
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin C disease
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin C-beta-thalassemia syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin D disease
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin E disease
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin E-beta-thalassemia syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin Lepore-beta-thalassemia syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hemoglobin M disease
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	SICKLE CELL ANEMIA
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Sickle cell-beta-thalassemia disease syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Sickle cell-hemoglobin C disease syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Sickle cell-hemoglobin D disease syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	Sickle cell-hemoglobin E disease syndrome
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	ALPHA-THALASSEMIA
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	BETA-THALASSEMIA
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	BETA-THALASSEMIA DOMINANT INCLUSION BODY TYPE
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	HEINZ BODY ANEMIAS
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	MALARIA SUSCEPTIBILITY TO MALARIA RESISTANCE TO INCLUDED
HBS1L	HBS1 like translational GTPase [Source:HGNC Symbol;Acc:HGNC:4834]	
HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	
HDAC10	histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128]	
HDGF	hepatoma-derived growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	
HEATR5B	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	
HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	
HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 [Source:HGNC Symbol;Acc:HGNC:4867]	Megalencephaly-severe kyphoscoliosis-overgrowth syndrome
HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 [Source:HGNC Symbol;Acc:HGNC:4867]	MACROCEPHALY DYSMORPHIC FACIES AND PSYCHOMOTOR RETARDATION
HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	Autosomal recessive spondylocostal dysostosis
HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	SPONDYLOCOSTAL DYSOSTOSIS 4 AUTOSOMAL RECESSIVE
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	Tay-Sachs disease B variant adult form
